feature,mean_abs_shap_value
Protein_OHE_625,0.00145491
TTF_1509,0.0014497187
Protein_OHE_547,0.0014479368
TTF_1869,0.0014456707
Protein_OHE_446,0.0014441818
TTF_235,0.0014355069
Protein_OHE_584,0.0014336405
Protein_OHE_237,0.0014330983
Protein_OHE_131,0.0014317299
Protein_OHE_217,0.0014295325
Protein_OHE_214,0.0014238618
Protein_OHE_770,0.0014225709
TTF_45,0.0014224747
Protein_OHE_607,0.0014218929
TTF_169,0.0014201929
TTF_1029,0.0014162585
Protein_OHE_618,0.0014047977
TTF_257,0.0014038164
Protein_OHE_244,0.0014029293
Protein_OHE_379,0.0013967005
Protein_OHE_149,0.0013954416
Protein_OHE_65,0.0013950935
Protein_OHE_800,0.0013944629
Protein_OHE_588,0.0013872146
TTF_1497,0.0013860915
Protein_OHE_884,0.0013837903
Protein_OHE_604,0.0013812843
Protein_OHE_711,0.0013717613
TTF_1701,0.0013655969
Protein_OHE_657,0.00136474
Protein_OHE_827,0.0013633042
Protein_OHE_228,0.0013613116
Protein_OHE_78,0.0013598372
Protein_OHE_621,0.0013549507
Protein_OHE_469,0.0013535985
Protein_OHE_824,0.0013530612
TTF_549,0.0013530224
Protein_OHE_731,0.0013522961
TTF_1470,0.0013510876
Protein_OHE_616,0.0013504333
TTF_1858,0.0013447047
Protein_OHE_495,0.001342675
Protein_OHE_197,0.0013367074
Protein_OHE_676,0.0013306553
Protein_OHE_845,0.0013273031
Protein_OHE_192,0.0013222793
MACCS_145,0.0013113294
Protein_OHE_781,0.0013054709
Protein_OHE_340,0.0013001228
Protein_OHE_881,0.0012984963
TTF_1022,0.0012984938
Protein_OHE_241,0.0012958361
Protein_OHE_484,0.001281944
Protein_OHE_758,0.0012802769
Protein_OHE_424,0.0012798464
TTF_1878,0.0012778814
Protein_OHE_153,0.0012769876
TTF_734,0.0012669652
Protein_OHE_468,0.0012621469
Protein_OHE_853,0.0012599612
Protein_OHE_925,0.0012585585
Protein_OHE_556,0.0012578131
Protein_OHE_113,0.0012448706
TTF_501,0.0012421377
MACCS_99,0.0012409865
Protein_OHE_287,0.0012400454
Protein_OHE_951,0.0012337252
TTF_1045,0.0012318904
TTF_1013,0.0012269992
Protein_OHE_361,0.0012257549
Protein_OHE_755,0.001225266
Protein_OHE_794,0.0012231247
TTF_337,0.0012164211
TTF_365,0.0012144062
TTF_750,0.0012137496
TTF_1453,0.0012122991
Protein_OHE_826,0.0012103788
Protein_OHE_808,0.0012097337
Protein_OHE_578,0.0012086284
Protein_OHE_840,0.0012049287
Protein_OHE_875,0.0012047918
TTF_1349,0.0012025989
TTF_2013,0.0012010263
Protein_OHE_218,0.0012000534
Protein_OHE_102,0.0011987076
Protein_OHE_548,0.0011917495
TTF_1661,0.0011819701
Protein_OHE_176,0.0011791592
TTF_561,0.0011756914
TTF_1225,0.001174309
Protein_OHE_519,0.001173318
Protein_OHE_109,0.0011681183
Protein_OHE_890,0.0011653687
TTF_379,0.001165113
Protein_OHE_865,0.0011590186
Protein_OHE_739,0.0011583848
Protein_OHE_668,0.0011524569
MACCS_118,0.0011484217
Protein_OHE_448,0.0011447542
Protein_OHE_61,0.0011362929
MACCS_40,0.0011324543
Protein_OHE_841,0.0011137307
TTF_409,0.001112081
Protein_OHE_878,0.001111475
MACCS_18,0.0011100887
Protein_OHE_907,0.0011068452
Protein_OHE_726,0.001102653
Protein_OHE_717,0.0011013813
MACCS_51,0.0011003833
Protein_OHE_213,0.0010987625
TTF_1539,0.0010911778
TTF_994,0.0010896355
Protein_OHE_861,0.0010849114
Protein_OHE_481,0.0010844608
Protein_OHE_399,0.0010844475
TTF_1009,0.0010830621
Protein_OHE_454,0.0010810232
Protein_OHE_238,0.0010779031
TTF_581,0.0010762626
Protein_OHE_476,0.0010739685
TTF_1425,0.0010728717
TTF_785,0.0010726702
Protein_OHE_163,0.0010690336
TTF_1393,0.0010676561
Protein_OHE_534,0.0010659959
Protein_OHE_970,0.0010647827
Protein_OHE_95,0.0010640469
Protein_OHE_327,0.001062779
Protein_OHE_643,0.0010622645
TTF_1346,0.0010595848
Protein_OHE_362,0.0010576199
Protein_OHE_260,0.0010574012
Protein_OHE_510,0.0010551651
Protein_OHE_966,0.0010542424
Protein_OHE_107,0.0010524913
TTF_433,0.001051242
Protein_OHE_453,0.0010458261
Protein_OHE_596,0.0010439464
TTF_1057,0.0010424505
MACCS_49,0.0010422765
TTF_1373,0.0010368781
Protein_OHE_795,0.0010351156
Protein_OHE_302,0.0010338457
Protein_OHE_817,0.001027915
MACCS_148,0.0010205938
TTF_174,0.0010131629
Protein_OHE_906,0.0010116339
Protein_OHE_395,0.0010115566
Protein_OHE_961,0.0010074516
TTF_689,0.0010038032
Protein_OHE_811,0.0010027647
Protein_OHE_521,0.0009998793
Protein_OHE_275,0.0009973048
TTF_1889,0.0009955394
Protein_OHE_836,0.0009944316
TTF_1538,0.000994202
TTF_1137,0.0009884804
Protein_OHE_901,0.0009871507
Protein_OHE_894,0.0009852434
Protein_OHE_599,0.0009849034
Protein_OHE_756,0.0009846165
TTF_441,0.0009800968
TTF_862,0.0009773821
TTF_690,0.00097517297
Protein_OHE_398,0.0009725026
Protein_OHE_33,0.000971959
